temperature,humidity,rainfall,AQI,age_group,location,heat_risk,dengue_risk,asthma_risk
33.03945923,48.04727578,51.1148918,13.7929581,Elderly,Slum,Low,Moderate,Low
36.72758972,64.06725323,12.3572574,108.4345257,Child,Slum,Moderate,Low,Moderate
34.19357144,76.06076285,21.94358417,82.27772766,Child,Slum,Low,Low,Low
42.01979369,69.72173793,10.7379138,53.05981512,Elderly,Rural,High,Low,Low
35.30115105,106.9486317,1.585532621,139.110164,Elderly,Urban,Moderate,Low,Moderate
33.70485678,61.37936189,20.16816328,103.1400712,Child,Rural,Low,Low,Moderate
40.71411407,81.27899549,8.13999517,87.92688627,Adult,Rural,High,Low,Low
41.92007859,91.07807959,23.0215575,175.6930301,Elderly,Urban,High,Low,High
30.04731837,61.50553406,1.248892794,188.2641981,Adult,Slum,Low,Low,High
39.36794708,70.13716519,7.704724412,105.3784281,Elderly,Rural,High,Low,Moderate
29.68848143,77.10388646,35.22637583,144.8219286,Adult,Urban,Low,Moderate,Moderate
34.19531312,64.17603402,3.613328551,84.57950505,Adult,Slum,Low,Low,Low
39.06758609,51.53703525,50.98452218,174.555461,Child,Slum,Moderate,Moderate,High
47.69581358,65.13263563,68.25369676,111.7653313,Elderly,Slum,High,Moderate,Moderate
36.29941397,81.72734308,12.42139529,171.9758726,Adult,Urban,Moderate,Low,High
30.66426922,79.26461268,2.636751786,168.6828319,Elderly,Slum,Low,Low,High
36.46536237,59.28472873,0.152233112,126.9933205,Adult,Slum,Moderate,Low,Moderate
28.91572554,85.74021088,7.618496019,173.0042265,Adult,Rural,Low,Low,High
30.12659165,81.80626906,11.80904727,150.7990944,Elderly,Rural,Low,Low,High
41.34194761,76.36729366,25.20132917,157.6214234,Child,Urban,High,Low,High
33.77305942,58.69395753,9.244804436,155.1469419,Elderly,Rural,Low,Low,High
33.80202746,88.14072956,20.95305973,141.5184001,Elderly,Urban,Low,Low,Moderate
33.67671583,110.8025375,6.51644686,81.47937496,Elderly,Urban,Low,Low,Low
39.8859,70.62970097,5.848007107,114.5091273,Adult,Slum,High,Low,Moderate
33.88268607,80.71000741,0.467319461,115.0347044,Elderly,Slum,Low,Low,Moderate
38.70170409,63.21306651,14.58875796,151.0819918,Adult,Slum,High,Low,High
32.76742524,82.84598191,5.571558489,148.4043696,Adult,Rural,Low,Low,Moderate
35.46239436,79.45112408,3.06684592,190.5174989,Adult,Urban,Moderate,Low,High
35.29104359,52.85544553,62.95825914,154.8978863,Adult,Urban,Moderate,Moderate,High
40.33099272,55.61487855,10.42686253,175.2801842,Child,Urban,Moderate,Low,High
37.57517634,77.70678926,60.53850142,120.9572726,Elderly,Slum,Moderate,High,Moderate
39.35956994,91.56034493,31.49157225,120.2922549,Adult,Rural,High,Moderate,Moderate
39.77000882,79.77086877,66.21970429,73.89738513,Adult,Rural,High,High,Low
27.49615803,72.47534197,1.098123126,85.76284329,Elderly,Urban,Low,Low,Low
46.57329283,41.99102211,10.12891981,103.4187278,Elderly,Slum,Moderate,Low,Moderate
35.40099356,56.6031959,22.15960765,106.6073101,Child,Urban,Moderate,Low,Moderate
31.42348145,80.19396623,29.25658856,215.5614383,Child,Rural,Low,Low,High
44.21706879,90.45153236,111.7067103,153.1506391,Elderly,Urban,High,High,High
24.87428707,72.79681472,47.56961939,102.2200502,Adult,Slum,Low,Moderate,Moderate
26.6543382,58.42271383,5.709196084,186.4520692,Child,Urban,Low,Low,High
32.62527344,60.20006151,23.90371945,157.8152676,Adult,Urban,Low,Low,High
41.33203428,75.65944398,28.38091416,186.0540395,Child,Urban,High,Low,High
27.40315017,62.73648891,13.20042388,110.5043216,Child,Rural,Low,Low,Moderate
44.3600284,69.70836789,19.24350996,82.69633374,Elderly,Rural,High,Low,Low
33.73715924,51.28325227,15.25009844,181.7227061,Child,Urban,Low,Low,High
41.61631904,68.0738178,29.49374984,101.3734091,Adult,Urban,High,Low,Moderate
40.81581876,70.15349592,32.24924292,111.901699,Adult,Urban,High,Moderate,Moderate
35.30448304,79.70744045,25.70347337,125.0437931,Elderly,Slum,Moderate,Low,Moderate
42.93008408,51.43276752,18.38867922,147.4739405,Child,Rural,Moderate,Low,Moderate
35.35486208,76.5899071,70.72728551,115.6600845,Child,Urban,Moderate,High,Moderate
36.40495934,60.6595072,2.215488808,155.3996187,Child,Slum,Moderate,Low,High
32.67735126,60.66644253,35.79466225,105.7804544,Adult,Slum,Low,Moderate,Moderate
39.49799938,74.60949281,39.84880736,94.81196571,Child,Slum,High,Moderate,Low
39.38377325,78.27605516,49.3262755,91.59488168,Child,Urban,High,Moderate,Low
34.89549203,71.75991075,13.95731736,93.23189087,Child,Urban,Low,Low,Low
40.80968659,93.29289664,42.13898961,102.419285,Adult,Rural,High,Moderate,Moderate
41.52739404,70.31505762,11.57206278,110.4310081,Child,Urban,High,Low,Moderate
39.26987356,65.93439307,89.9091715,95.47621268,Elderly,Slum,High,Moderate,Low
35.48497982,78.92735538,29.97690241,48.31819599,Child,Rural,Moderate,Low,Low
32.76613244,88.07384383,41.87513621,72.13358123,Child,Slum,Low,Moderate,Low
38.12059909,79.42518264,2.869108396,92.03413688,Elderly,Rural,High,Low,Low
34.95591477,38.64973377,65.59855993,190.8172607,Child,Rural,Low,Moderate,High
30.87251402,65.17921238,4.629229636,144.5536537,Elderly,Slum,Low,Low,Moderate
41.78940394,63.5004489,51.75557561,128.1529091,Adult,Urban,High,Moderate,Moderate
32.64480847,73.48074906,2.659616033,166.1741735,Elderly,Slum,Low,Low,High
32.61309135,60.03658835,2.615819811,174.4044546,Elderly,Rural,Low,Low,High
36.55453783,92.13034325,16.56099376,107.9070303,Child,Rural,Moderate,Low,Moderate
34.97718586,59.76486098,3.794729878,118.0721806,Elderly,Rural,Low,Low,Moderate
36.6135928,57.59153585,41.11793153,139.7074594,Elderly,Urban,Moderate,Moderate,Moderate
35.44436503,48.31585041,60.88507615,86.23452346,Child,Urban,Moderate,Moderate,Low
36.12046241,70.18888601,2.299841279,138.9450955,Child,Urban,Moderate,Low,Moderate
35.27175289,104.1364195,35.69703714,136.2490674,Elderly,Slum,Moderate,Moderate,Moderate
45.76591229,58.48978656,26.33477585,115.5627226,Child,Urban,Moderate,Low,Moderate
39.88154563,48.20725811,6.252124843,151.3602564,Adult,Urban,Moderate,Low,High
24.38052138,62.11367467,26.28731118,43.49173932,Adult,Rural,Low,Low,Low
36.81238229,78.57021265,5.324209623,158.8209528,Child,Slum,Moderate,Low,High
28.39883396,97.47188149,80.97055085,117.0555554,Child,Rural,Low,High,Moderate
33.58889406,74.43216287,14.38421099,76.10616526,Child,Urban,Low,Low,Low
34.42730077,88.56724468,16.07504809,115.6548534,Elderly,Slum,Low,Low,Moderate
34.72257521,73.89083963,245.1733679,132.0939316,Elderly,Slum,Low,Moderate,Moderate
35.0262185,70.70470891,43.95849271,107.4790517,Adult,Slum,Moderate,Moderate,Moderate
27.00438264,49.47114827,33.41488618,141.4196724,Child,Urban,Low,Moderate,Moderate
27.32942915,89.16515233,3.616173642,129.6933474,Elderly,Slum,Low,Low,Moderate
45.23699461,71.72292202,57.35310334,182.0505142,Adult,Slum,High,Moderate,High
45.30373962,96.33011264,62.7827593,79.18467011,Child,Slum,High,High,Low
33.65452781,92.33567761,7.184444805,155.1130067,Adult,Slum,Low,Low,High
40.29212243,43.6189077,14.93945603,155.4425424,Elderly,Slum,Moderate,Low,High
34.31461089,73.00201629,45.92615213,33.16536687,Adult,Slum,Low,Moderate,Low
43.14307773,49.29847813,59.49421931,119.4112697,Adult,Urban,Moderate,Moderate,Moderate
38.98202715,65.7792234,117.4095929,53.41227215,Child,Slum,High,Moderate,Low
24.6627895,68.66319941,30.10458822,115.0835477,Elderly,Slum,Low,Moderate,Moderate
34.62348173,53.48122143,12.72417947,139.506931,Adult,Urban,Low,Low,Moderate
34.68660451,84.32713481,33.03867251,102.1326612,Adult,Rural,Low,Moderate,Moderate
32.62164326,57.7675139,2.786577236,97.63898027,Elderly,Rural,Low,Low,Low
34.4648482,54.47136516,6.93276619,122.2989601,Child,Slum,Low,Low,Moderate
23.58598755,68.47075731,48.19482731,121.6853633,Adult,Rural,Low,Moderate,Moderate
31.50137246,73.20969866,62.04404095,154.0541706,Child,Rural,Low,Moderate,High
31.89818139,58.95381742,7.046970935,143.1801761,Child,Rural,Low,Low,Moderate
33.62474151,35.47118253,28.89005502,94.93903269,Adult,Rural,Low,Low,Low
24.03934972,82.77103139,67.67300263,80.48256617,Elderly,Rural,Low,High,Low
50.39440404,86.79362367,3.400840156,180.9514964,Elderly,Slum,High,Low,High
22.71626472,57.8424123,14.20994954,83.81832465,Adult,Rural,Low,Low,Low
31.76713558,53.77677995,3.826893099,128.7289093,Elderly,Rural,Low,Low,Moderate
39.55282061,85.82996495,20.70109266,146.1453705,Adult,Rural,High,Low,Moderate
35.38684154,57.08073698,26.51769174,102.3798176,Child,Slum,Moderate,Low,Moderate
42.91019091,64.17896215,13.53344476,93.26392127,Child,Slum,High,Low,Low
39.63088774,98.64124961,13.20620279,121.1076373,Child,Rural,High,Low,Moderate
35.63682739,64.57865741,4.976648778,110.4602653,Child,Urban,Moderate,Low,Moderate
31.74678715,62.69311924,6.194752364,86.85664916,Child,Slum,Low,Low,Low
32.274154,32.45860718,121.159265,147.3856881,Child,Slum,Low,Moderate,Moderate
33.80525977,56.38654507,104.6717899,129.4929754,Adult,Rural,Low,Moderate,Moderate
36.36788702,59.13997305,33.13678796,98.69678791,Elderly,Urban,Moderate,Moderate,Low
35.49666153,81.27080685,25.43182684,157.3204856,Child,Rural,Moderate,Low,High
31.19132542,61.53164495,16.6243365,79.91813105,Adult,Urban,Low,Low,Low
26.86228781,70.7212742,3.659498164,59.02837867,Adult,Rural,Low,Low,Low
38.98868157,52.91287407,19.68364134,130.7097066,Child,Slum,Moderate,Low,Moderate
31.74081946,70.71098007,12.31150804,95.92125284,Adult,Slum,Low,Low,Low
38.80125547,86.59493657,27.16339783,150.865526,Child,Slum,High,Low,High
22.6417775,58.04657117,12.87129905,126.7891714,Child,Slum,Low,Low,Moderate
35.4469696,77.32066119,55.32231424,183.2053638,Elderly,Urban,Moderate,High,High
36.68801331,63.82184551,6.755393192,107.2608596,Child,Rural,Moderate,Low,Moderate
33.40471489,78.15224729,22.21127869,161.3968371,Elderly,Rural,Low,Low,High
39.35562352,65.10964702,14.94938249,109.995096,Child,Urban,High,Low,Moderate
41.50526217,59.85380469,10.75935826,30.78680369,Elderly,Slum,Moderate,Low,Low
35.0920919,95.14655968,7.92727593,110.4328534,Child,Urban,Moderate,Low,Moderate
39.11552488,83.3861623,29.36397912,123.8248178,Elderly,Slum,High,Low,Moderate
27.60706877,87.15631065,4.499304618,140.3751247,Child,Rural,Low,Low,Moderate
41.23663528,84.48883012,46.61970041,123.2821948,Elderly,Urban,High,Moderate,Moderate
32.7031955,57.25233446,8.570088556,180.3908525,Adult,Urban,Low,Low,High
37.0101724,64.78709899,51.65423891,153.1655474,Adult,Rural,Moderate,Moderate,High
33.65062532,55.31854426,47.8801609,102.9036823,Child,Urban,Low,Moderate,Moderate
32.23677113,84.45775478,30.74532626,158.9422979,Child,Rural,Low,Moderate,High
37.06717452,98.15193719,8.702510978,77.66458389,Child,Rural,Moderate,Low,Low
32.43542813,72.55891305,15.36736978,153.4226159,Adult,Slum,Low,Low,High
38.27182828,69.16622994,4.994086504,127.2212337,Child,Urban,High,Low,Moderate
48.21785792,66.9573067,61.70080568,121.8766174,Child,Slum,High,Moderate,Moderate
35.54697397,80.88649936,35.78612222,128.6744415,Child,Slum,Moderate,Moderate,Moderate
37.21058333,73.75365899,27.99662571,74.40982287,Child,Urban,Moderate,Low,Low
42.96593313,62.33176485,81.71030657,116.3908934,Child,Rural,High,Moderate,Moderate
38.90536634,108.0803665,15.2749453,140.9581067,Elderly,Rural,High,Low,Moderate
34.20996051,63.59678395,48.71423733,154.0898596,Adult,Urban,Low,Moderate,High
23.39631313,66.55180643,12.78319458,145.1256005,Child,Urban,Low,Low,Moderate
33.3210765,95.03532288,7.631474211,74.98323969,Child,Slum,Low,Low,Low
34.25481667,69.90019818,16.28628649,67.23419819,Child,Slum,Low,Low,Low
33.84532735,80.44309547,26.06707151,79.31231318,Child,Urban,Low,Low,Low
37.58334654,58.01334144,173.0424485,113.4185737,Child,Urban,Moderate,Moderate,Moderate
47.86679902,70.88827651,2.082961525,88.69825179,Adult,Slum,High,Low,Low
38.37140234,68.27733971,6.347112894,126.2014649,Child,Urban,High,Low,Moderate
34.83623365,61.84862843,24.96132311,175.5432908,Child,Urban,Low,Low,High
21.70324321,38.82435018,24.60490371,70.37439689,Adult,Rural,Low,Low,Low
33.28656203,64.42838701,59.36847985,114.0048813,Elderly,Slum,Low,Moderate,Moderate
37.6388238,82.49835816,15.76468703,66.93843936,Child,Slum,Moderate,Low,Low
39.67839197,89.07332642,0.824095737,91.82119586,Child,Urban,High,Low,Low
31.35842425,71.48118666,5.900331284,114.7861942,Child,Slum,Low,Low,Moderate
28.88936096,80.69497645,3.142201005,152.5545563,Adult,Urban,Low,Low,High
30.29793113,73.51978008,15.18427468,130.1102203,Adult,Slum,Low,Low,Moderate
29.59468336,79.2390341,10.40800766,53.20883312,Elderly,Slum,Low,Low,Low
43.82343467,51.37748154,14.32619424,87.34778364,Child,Rural,Moderate,Low,Low
27.21685413,79.09014927,29.35686737,169.8677895,Child,Rural,Low,Low,High
24.15061156,43.69795876,88.95801663,98.2031106,Elderly,Slum,Low,Moderate,Low
32.27540457,75.98704172,60.85514783,158.8729076,Elderly,Slum,Low,High,High
34.84520875,64.96427391,0.681767684,173.8417683,Child,Rural,Low,Low,High
36.53900884,44.34747411,30.11091996,95.08581988,Adult,Urban,Moderate,Moderate,Low
32.90928483,50.6732893,9.536294152,124.0326969,Elderly,Urban,Low,Low,Moderate
35.97922628,55.32440834,9.608439858,200.2229618,Elderly,Rural,Moderate,Low,High
38.5879579,62.9627842,0.331701889,141.0774965,Elderly,Urban,High,Low,Moderate
36.28014867,84.74036476,27.52751156,79.84968434,Child,Rural,Moderate,Low,Low
37.55148195,67.62847765,14.49332398,152.2637299,Child,Urban,Moderate,Low,High
31.87590711,70.39136575,5.455851151,106.0794765,Adult,Urban,Low,Low,Moderate
35.99279181,48.48452549,14.79426771,143.2408804,Child,Urban,Moderate,Low,Moderate
30.38383377,49.72473092,38.0869196,142.9586784,Child,Urban,Low,Moderate,Moderate
26.23213141,101.2197199,82.85764943,107.8178545,Elderly,Urban,Low,High,Moderate
30.7082111,80.50464819,0.950390365,144.3026746,Adult,Slum,Low,Low,Moderate
27.40410009,69.91995294,27.2528652,93.64924697,Elderly,Urban,Low,Low,Low
40.74636663,59.45235362,3.381567443,127.1938167,Elderly,Urban,Moderate,Low,Moderate
33.32573864,99.6254103,17.11871997,118.1094139,Elderly,Slum,Low,Low,Moderate
38.53875968,61.56299836,48.19564692,76.48876259,Child,Urban,High,Moderate,Low
39.64741254,43.55699607,2.881522038,165.7654081,Elderly,Rural,Moderate,Low,High
34.62783285,79.31008146,6.141908457,162.5827471,Child,Slum,Low,Low,High
35.59802834,82.25047777,32.25713146,144.7464784,Child,Slum,Moderate,Moderate,Moderate
39.16961077,76.88770119,8.617185466,58.93792553,Elderly,Slum,High,Low,Low
34.71047546,82.27727102,1.036065706,125.3539062,Child,Urban,Low,Low,Moderate
29.5947173,85.7972928,77.46746014,165.1627775,Child,Slum,Low,High,High
34.59792113,63.01824726,52.96792624,155.4606965,Elderly,Urban,Low,Moderate,High
35.48060388,63.06587067,7.841287236,78.30060503,Adult,Urban,Moderate,Low,Low
41.38963415,66.0845912,11.36281144,125.3993888,Child,Urban,High,Low,Moderate
42.23488942,72.94832165,11.51488821,154.710601,Adult,Slum,High,Low,High
36.41516103,49.75804643,0.741102412,143.4201384,Elderly,Urban,Moderate,Low,Moderate
35.41141995,85.98220563,83.93975528,168.926838,Adult,Slum,Moderate,High,High
31.58284105,62.35213634,29.62598723,20.61553684,Adult,Rural,Low,Low,Low
32.77248739,91.80076716,16.41208727,85.09477491,Child,Urban,Low,Low,Low
38.96828971,65.49459268,10.15827319,87.80852333,Elderly,Rural,High,Low,Low
29.97929617,58.48303652,1.290143428,42.65286796,Child,Rural,Low,Low,Low
28.96302084,53.9413288,89.84868761,147.3049295,Child,Rural,Low,Moderate,Moderate
39.92161199,66.79016734,86.86684809,212.3889102,Adult,Slum,High,Moderate,High
31.68051543,87.50654372,21.56555258,184.8443423,Elderly,Urban,Low,Low,High
31.81130008,62.03504567,7.472546959,142.2150727,Elderly,Urban,Low,Low,Moderate
31.88564752,62.56046431,104.3125265,113.2754042,Elderly,Slum,Low,Moderate,Moderate
42.10252124,61.43880559,35.72386207,133.7447436,Adult,Slum,High,Moderate,Moderate
33.11723674,59.42183896,23.09918953,91.85519748,Child,Urban,Low,Low,Low
42.73752601,96.9381651,2.878377089,105.498599,Elderly,Rural,High,Low,Moderate
37.91900188,78.15248654,24.01244345,163.3443862,Child,Urban,Moderate,Low,High
34.11526386,58.02554133,13.98936236,155.3640335,Elderly,Urban,Low,Low,High
30.24658104,57.38636803,7.460887835,119.668877,Child,Urban,Low,Low,Moderate
32.4119435,73.35681927,57.15595869,-19.23235315,Adult,Urban,Low,Moderate,Low
30.64888379,88.08442117,12.82254402,133.725402,Child,Urban,Low,Low,Moderate
38.40945745,97.70060989,9.319444368,129.6009095,Adult,Rural,High,Low,Moderate
36.5277716,83.99494964,60.58861915,136.867397,Adult,Slum,Moderate,High,Moderate
39.10241091,77.60911047,35.86738993,160.340833,Child,Urban,High,Moderate,High
42.65844401,60.26213013,63.82638954,139.2224843,Elderly,Urban,High,Moderate,Moderate
34.1644096,72.2007053,12.24440948,92.41838716,Child,Rural,Low,Low,Low
37.47477759,76.27378832,21.24585916,136.0164812,Elderly,Slum,Moderate,Low,Moderate
35.95549534,70.69654822,29.97497247,150.1321708,Elderly,Rural,Moderate,Low,High
28.24875794,92.42700618,3.394410519,128.545217,Child,Rural,Low,Low,Moderate
36.24691842,93.6617992,98.89863833,168.3592778,Elderly,Urban,Moderate,High,High
27.79252876,72.63318745,2.107429509,136.3404939,Adult,Urban,Low,Low,Moderate
40.36815875,54.60227051,2.091777822,47.60164396,Elderly,Rural,Moderate,Low,Low
39.82507481,62.79802198,61.56338535,125.1121079,Adult,Rural,High,Moderate,Moderate
32.20539076,75.65817813,42.59717193,114.7584637,Child,Rural,Low,Moderate,Moderate
24.8237988,80.98185411,17.71244962,163.20276,Elderly,Slum,Low,Low,High
27.7599305,37.01791065,5.360303774,145.9454534,Child,Rural,Low,Low,Moderate
39.9365445,86.82779784,9.57557546,172.421753,Elderly,Urban,High,Low,High
38.25100589,68.51236204,16.32771428,70.90960876,Adult,Rural,High,Low,Low
43.30068477,83.46832808,7.839174375,111.7373133,Child,Rural,High,Low,Moderate
28.74230288,91.65646906,59.93214176,140.2200724,Adult,Urban,Low,High,Moderate
34.85537558,74.04504036,44.96331914,110.7977426,Adult,Slum,Low,Moderate,Moderate
37.8488364,76.7156284,42.94176338,82.2252489,Child,Rural,Moderate,Moderate,Low
36.61622881,88.73802651,19.70575081,139.6561827,Child,Urban,Moderate,Low,Moderate
31.61803849,97.01410649,6.713990247,90.36670368,Elderly,Rural,Low,Low,Low
34.92855484,46.12893029,47.9192187,142.5880425,Adult,Slum,Low,Moderate,Moderate
32.76908283,41.65688904,0.350657582,113.0786049,Child,Rural,Low,Low,Moderate
31.55920155,107.0841919,10.34504145,100.1653529,Child,Slum,Low,Low,Moderate
38.92900079,76.38186343,45.40351916,119.0329209,Adult,Urban,High,Moderate,Moderate
32.1449764,66.05017146,129.5154797,103.8684199,Child,Rural,Low,Moderate,Moderate
34.9819873,52.62452966,28.88227305,140.9955511,Adult,Slum,Low,Low,Moderate
43.90812545,56.85521998,12.95243673,121.5064093,Elderly,Slum,Moderate,Low,Moderate
29.99189995,65.78349561,25.14802212,159.5553095,Adult,Slum,Low,Low,High
38.11654903,62.59805775,3.313464519,102.2006671,Elderly,Urban,High,Low,Moderate
41.99677718,83.86950524,0.962872402,192.479205,Elderly,Urban,High,Low,High
36.78962864,75.89894727,48.54347618,147.2578032,Adult,Slum,Moderate,Moderate,Moderate
40.24776358,61.97147183,2.505193493,124.5813346,Elderly,Rural,High,Low,Moderate
39.75072735,67.0307031,30.94917005,172.6911291,Elderly,Slum,High,Moderate,High
43.67981902,72.96866175,2.554646997,78.73695013,Adult,Rural,High,Low,Low
32.35350881,79.28029822,20.68635326,165.1729775,Child,Rural,Low,Low,High
43.63771585,76.54485505,7.780798371,74.88691118,Elderly,Rural,High,Low,Low
37.82138694,62.46616426,0.933963496,128.4637988,Child,Urban,Moderate,Low,Moderate
33.71311731,44.97123889,60.81059776,157.3151634,Elderly,Rural,Low,Moderate,High
39.36579274,42.03502708,13.91056952,83.93597016,Adult,Rural,Moderate,Low,Low
36.12225909,85.70647454,17.32047243,115.784323,Child,Slum,Moderate,Low,Moderate
43.90414606,45.50571579,26.92041366,97.08926302,Adult,Slum,Moderate,Low,Low
42.38270175,90.70137031,39.62790045,136.0650202,Child,Urban,High,Moderate,Moderate
31.57194859,74.85700191,20.33462828,108.3404008,Elderly,Rural,Low,Low,Moderate
37.71800077,64.44078502,17.68011977,30.62294231,Child,Slum,Moderate,Low,Low
36.17599914,52.66647928,14.88212719,132.7689337,Child,Slum,Moderate,Low,Moderate
28.52659262,87.41240181,44.54675072,57.76405398,Child,Urban,Low,Moderate,Low
33.63802015,38.57263716,52.96229652,130.1669557,Adult,Slum,Low,Moderate,Moderate
27.21709051,63.57827259,28.8029675,86.46450036,Child,Rural,Low,Low,Low
37.6033221,82.70618515,19.30962509,168.9000366,Child,Slum,Moderate,Low,High
36.90967726,76.45062471,26.40993041,107.8676615,Adult,Slum,Moderate,Low,Moderate
36.89863093,65.0967883,1.763433202,97.96207542,Adult,Rural,Moderate,Low,Low
38.63814772,70.77918829,1.204152492,114.7633611,Child,Urban,High,Low,Moderate
29.82522568,67.15008419,21.23167511,137.9356117,Elderly,Urban,Low,Low,Moderate
39.58163837,75.19732714,18.19476807,35.96324554,Elderly,Urban,High,Low,Low
49.68876424,56.93299354,0.912959428,136.1356009,Elderly,Urban,Moderate,Low,Moderate
40.54091408,54.40141109,6.763891633,131.0627661,Elderly,Urban,Moderate,Low,Moderate
31.74643231,86.09631018,5.849432972,113.4415648,Adult,Urban,Low,Low,Moderate
39.35033865,77.43522832,86.80297162,118.7644946,Child,Urban,High,High,Moderate
45.01703634,84.44448294,25.36167276,132.3048302,Elderly,Slum,High,Low,Moderate
40.52762966,87.80545458,7.287959941,76.41627607,Child,Slum,High,Low,Low
43.15562926,58.42557516,32.17476955,131.8651328,Adult,Slum,Moderate,Moderate,Moderate
34.67930827,74.93143615,61.38100383,133.6240008,Child,Urban,Low,Moderate,Moderate
42.17590775,78.46604482,15.53250236,134.2220252,Adult,Urban,High,Low,Moderate
40.94735244,51.58588277,49.48373529,148.858651,Adult,Slum,Moderate,Moderate,Moderate
38.17698466,89.34634793,3.84212888,109.544003,Elderly,Rural,High,Low,Moderate
34.13464088,70.23368571,11.77287573,68.87909666,Child,Slum,Low,Low,Low
26.78129642,56.72254752,17.86393757,182.1024726,Child,Rural,Low,Low,High
31.80519126,50.1536531,7.734752926,126.7877517,Child,Urban,Low,Low,Moderate
31.49942063,86.34497298,18.68032845,181.3591248,Elderly,Rural,Low,Low,High
39.90882743,65.12752925,21.96174164,101.830229,Child,Rural,High,Low,Moderate
34.90032302,52.64883662,15.26596543,58.68816591,Child,Slum,Low,Low,Low
40.11285216,106.5962861,28.08754075,147.198923,Elderly,Rural,High,Low,Moderate
37.87734334,66.20971468,78.53307499,135.6833812,Child,Slum,Moderate,Moderate,Moderate
31.23017706,65.78987385,19.95847647,85.17709535,Adult,Slum,Low,Low,Low
30.07863812,84.56351098,23.24121414,95.3021355,Child,Slum,Low,Low,Low
39.59158303,46.44249095,37.77935174,95.86705739,Adult,Slum,Moderate,Moderate,Low
27.06594142,67.98597845,34.28801078,113.6310449,Adult,Urban,Low,Moderate,Moderate
35.52687753,49.98961758,37.03772998,126.4190483,Elderly,Urban,Moderate,Moderate,Moderate
30.31385976,90.96122055,23.9703375,116.9942333,Adult,Urban,Low,Low,Moderate
35.62612251,63.55891688,90.7260156,168.2461358,Adult,Slum,Moderate,Moderate,High
36.91985776,65.74087284,7.149422825,136.0476887,Adult,Rural,Moderate,Low,Moderate
27.98697364,96.24365115,54.95144947,108.9870711,Adult,Rural,Low,High,Moderate
38.75687994,81.20747836,9.639483682,91.96673285,Adult,Urban,High,Low,Low
33.52525161,88.71613109,33.0379651,129.5790985,Child,Urban,Low,Moderate,Moderate
31.08991182,103.3404344,5.518197448,70.48716224,Child,Rural,Low,Low,Low
38.1688844,76.20698646,7.328709801,168.9833775,Elderly,Urban,High,Low,High
43.11698281,46.9457806,14.87347995,130.710049,Adult,Slum,Moderate,Low,Moderate
34.55858976,108.6956401,132.1539949,136.5816726,Elderly,Rural,Low,High,Moderate
31.13847987,48.46571758,37.93268584,43.47574299,Elderly,Urban,Low,Moderate,Low
37.8449154,94.42594935,9.612797774,75.96882869,Adult,Slum,Moderate,Low,Low
31.44350688,61.20153881,21.96036966,112.098591,Elderly,Urban,Low,Low,Moderate
36.16892956,46.66156531,63.62768449,138.5050534,Adult,Slum,Moderate,Moderate,Moderate
45.58927975,52.41095115,33.21327452,70.66127595,Child,Urban,Moderate,Moderate,Low
43.36286193,76.28528514,18.77618784,123.8573488,Child,Rural,High,Low,Moderate
31.59556359,55.13961417,23.02498278,145.1765434,Elderly,Urban,Low,Low,Moderate
